"est.u" "est.lamb" "name" "seed" "size" "replicates" "p_umbral" "exp_lambda" "alpha_pen" "n_pen" "c"
0.570517061511055 4.35019180269124 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.67309831851162 5.46287389560385 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.639515009475872 5.66569671325485 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.769459994509816 7.81457487284829 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.995743647217751 32.1151949181101 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
1.00383283332922 33.0697820038212 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.852371974848211 10.8034324929749 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.994449755875394 36.941475413859 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.95249412022531 19.5096470705391 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.874596277019009 12.6627875619511 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.917059110244736 15.6250194487221 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.9985676035285 36.0916613472138 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.977888214634731 25.6726874021 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.959990108618513 21.6762302771992 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.987675238400698 29.4260058977896 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.980870322091505 35.3614195648996 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.971176103688776 27.9696534034468 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.982731693889946 28.5611050638752 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
1.00254741833964 45.0040735997967 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.990842042025179 29.0052779502913 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.754235554253682 7.04380508910397 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
1.00421765137774 24.3165117685475 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.810191042954102 9.12457893153811 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
1.02151964583124 57.7601171052792 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.994854509830475 33.2450122483374 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
1.03038492926206 73.901741008888 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.998368364525959 33.5166347869616 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
0.972057212842628 26.564956695765 "experimento_43" 43 500 1000 0.95 30 0.4 1 0.8
