"est.u" "est.lamb" "name" "seed" "size" "replicates" "p_umbral" "exp_lambda" "alpha_pen" "n_pen" "c"
0.907025988679379 10.1539154996561 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.927406633272767 11.3447217425705 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
1.01221218942665 10.3063430357855 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.923826428130269 10.9643350094816 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
1.01728508560918 10.3352656918838 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.939147287514061 10.8122573094869 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
1.00097168156395 9.11033092808461 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.933493400923908 11.352268569452 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.994842233136296 10.8793564213543 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.940386235015467 10.8626695875421 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
1.07955579227096 11.9698246460051 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
1.00422453717329 9.88539766277115 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.997478645062074 9.66974356528763 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
1.00356439091265 10.5944230946249 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.930008566938341 10.8392419937185 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.999167256057262 9.9092701301884 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
1.01671261396259 9.82281610408055 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.935977001441643 10.2241228715682 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.924171905731782 11.1709371832722 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
0.998489598976448 10.5174093153317 "experimento_35" 35 5000 1000 0.95 10 0.4 1 0.8
