"est.u" "est.lamb" "name" "seed" "size" "replicates" "p_umbral" "exp_lambda" "alpha_pen" "n_pen" "c"
1.00002071870491 51.774887057565 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.996116021648049 33.5297167342727 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.01123519138433 162.581174095638 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.533191823167726 4.13076502910917 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.996083134552464 49.1091610782622 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00227483800612 68.0212987316844 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.889960359083489 13.9503783848653 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00857266974635 68.4975526300342 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.578384719789028 4.30353157026042 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.793311898596585 7.74092786814442 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.0000963635277 38.458429388013 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.925338464323431 19.4361705815317 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.01144859421998 61.8883705033078 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.973843209678307 27.5655988977855 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.994966569822282 59.5982750490263 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.538749890867621 3.87798208392749 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.792319018393755 8.71552133379453 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.0055269182904 70.631126960916 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.998012967174873 43.3715376134498 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.994974003639072 44.7626952183756 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.987362934276462 34.2250868194077 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.978407038375735 30.8423037200929 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.997286147903651 38.993310204877 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.535775045864284 4.05205012428692 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.608568254858255 4.75895197626299 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.850531244650483 12.255026593632 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00243230335038 48.4109535189908 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00247377034277 68.9740385393331 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.99051369051449 55.1471888310946 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00083057086915 66.6736130190547 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.853946801740676 11.6684516840971 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.643888500286266 5.33266705511687 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00145338431613 58.4904706608171 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.988645368721336 41.8254753034754 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.01317210989073 57.3567161078194 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.660954355727881 5.56085973394893 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.511646610684693 3.75436175081361 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00083826223388 61.8702828309321 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.998628359986469 56.7901457738647 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.807222905103117 9.65289442991251 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00023946180008 107.843650160298 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.0218480032674 42.3935349464433 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.754188847728074 7.54837663135251 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.993308677338064 51.6040020442257 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.999389921547845 47.5525665101092 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.534006918780506 3.93226914538208 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00234058985487 60.8864418903524 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00817113216035 52.7680949985627 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.991656971164048 38.8666760409685 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.997825023951009 52.8605810289112 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.797178227221593 7.77514361550063 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.996519594220445 49.9972235130159 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.994871982373297 61.457912574638 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.73280492471531 7.02128954207713 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.678013029973954 5.35179857471968 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.02016892008399 59.3728878548589 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.999083653325215 53.7747285601728 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00054930972867 59.2412496799208 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.48985086963512 3.67785177987569 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00715507899411 72.6465767175942 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.753906690748408 8.44693089327841 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00179465726018 53.0073154650673 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00523210650276 49.9793741359892 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.996002092724666 60.0410388254963 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.538904070854187 3.92576614946282 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.683350087376311 5.70350066184247 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.999790832865983 53.8728477263004 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.996574374148622 50.6149176228794 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.977842592168599 26.9857210022725 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.992900562938303 49.5055194043154 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.01529453281584 100.179559428468 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.823083908995613 9.60858049939428 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.533907195786014 3.9720056890713 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00910096108913 61.6119884264515 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.01152536293492 61.4932763244161 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.986851909197867 33.6419687015132 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00449254602194 45.4098061582088 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00094159077479 72.2572130347535 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.613319185329601 4.4698591008614 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.997371487086639 41.3103470047651 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.995762215927243 48.9450526480594 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00141574212881 55.5194329303643 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.508171648718417 3.69531000170282 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.0031984269619 47.4861862457351 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.999795464565977 71.8179320981195 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00356179054003 43.5409572841505 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.9996125951875 43.0041187693388 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.998020445229486 49.7064583601576 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.987707096152008 36.0645536206265 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.857969297794625 11.799420044962 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00409862121567 45.0254546031724 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00011720935654 49.9652090725776 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.980882068397477 31.7331965116324 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.999031726270914 69.3417269438019 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00017856274501 41.9080630870117 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.999633827945217 49.6993069643372 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.647420798661187 5.17363981796074 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.998972678324208 66.3356770889077 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00110224335112 62.304716925267 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00204462728599 69.8754135842508 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.997680650325492 41.9910535420974 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.993832631502301 39.9342225144262 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.928321419516578 20.528643287215 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00565096009027 71.476388266644 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00044354533067 56.3128142709275 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00496209397912 88.3963438789756 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00064918267541 71.0053648504066 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.540335578611121 4.13622216442905 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00555330610834 57.2577419238485 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.998967576771975 54.2318228721672 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.967861443990842 31.3008127974544 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.536879811203107 4.19407498811367 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00041072578668 75.343459439404 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.99925293889828 52.7805305878581 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.575390357058495 4.36476439366169 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
0.585070075001568 4.31892572348694 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
1.00098883740604 72.8029844168769 "experimento_55" 55 500 1000 0.95 50 0.4 1 0.8
