"est.u" "est.lamb" "name" "seed" "size" "replicates" "p_umbral" "exp_lambda" "alpha_pen" "n_pen" "c"
0.918149278499186 9.60637244690352 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.913668767083436 10.4202018938813 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.950809300877154 11.724710165182 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.949843117035925 12.0921318914976 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.897596017923206 10.8626304007098 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.92218767432496 9.49807204090512 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.908583104144782 10.1816030801482 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
1.08802409441722 8.83477272054896 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.947278233245015 10.7002257632789 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.900814827531576 10.2652889973036 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.908778477925807 10.7158265745105 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.958255464443937 12.4031507354854 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.917945912806317 10.156431338756 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
1.06259201136418 9.04723110731687 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.945123112294823 12.7312895461582 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.961342950351536 12.3490308823845 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.922179816756397 10.5390589205726 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.986314226873219 10.468354396874 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.949660643236712 11.3775962259109 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
0.912725552916527 10.9918145308347 "experimento_34" 34 2000 1000 0.95 10 0.4 1 0.8
